Key,Acronym,Title
3dim,3DIM,International Conference on 3D Digital Imaging and Modeling
aaai,AAAI,AAAI Conference on Artificial Intelligence
aamas,AAMAS,International Conference on Autonomous Agents and Multi-agent Systems
acl,ACL,Association for Computational Linguistics
acsac,ACSAC,Asia-Pacific Computer Systems Architecture Conference
aiccsa,AICCSA,ACS/IEEE International Conference on Computer Systems and Applications
aina,AINA,International Conference on Advanced Information Networking and Applications
ancs,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems
apscc,APSCC,Asia-Pacific Services Computing Conference
arith,ARITH,IEEE Symposium on Computer Arithmetic
asap,ASAP,International Conference on Apps for Specific Array Processors
ase,ASE,Automated Software Engineering Conference
asiacrypt,ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security
asplos,ASPLOS,Architectural Support for Programming Languages and Operating Systems
ats,ATS,Asian Test Symposium
avss,AVSS,Advanced Video and Signal Based Surveillance
bibe,BIBE,IEEE Bioinformatics and Bioengineering
bpm,BPM,International Conference in Business Process Management
cases,CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems "
cav,CAV,Computer Aided Verification
cc,CC,International Conference on Compiler Construction
ccc,CCC,IEEE Symposium on Computational Complexity
cccg,CCCG,Canadian Conference on Computational Geometry
ccgrid,CCGRID,"IEEE International Symposium on Cluster, Cloud, and Grid Computing"
ccs,CCS,ACM conference on Computer and communications security
cgo,CGO,International Symposium on Code Generation and Optimization
chi,CHI,International Conference on Human Factors in Computing Systems
cikm,CIKM,ACM international conference on Information and knowledge management
civr,CIVR,International Conference on image and video retrieval
cluster,CLUSTER,IEEE International Conference on Cluster Computing
coling,COLING,International Conference on Computational Linguistics
colt,COLT,Annual conference on Computational learning theory
compgeom,SoCG,Symposium on Computational Geometry
compsac,COMPSAC,International Computer Software and Applications Conference
conext,CONEXT,ACM International Conference on Emerging Networking Experiments and Technologies
cp,CP,International Conference on Principles and Practice of Constraint Programming
crypto,CRYPTO,Advances in Cryptology
cscw,CSCW,Conference on Computer supported cooperative work
cvpr,CVPR,IEEE Conference on Computer Vision and Pattern Recognition
dac,DAC,Digital Arts and Culture
date,DATE,Design Automation and Test in Europe Conference
dcoss,DCOSS,IEEE International Conference on Distributed Computing in Sensor Systems
ddecs,DDECS,IEEE International Symposium on Design and Diagnostics of Electronic Circuits and Systems
digitel,DIGITEL,IEEE International Conference on Digital Game and Intelligent Toy Enhanced Learning
disc,DISC,International Symposium on Distributed Computing
ecai,ECAI,Europeon Conference on Artificial Intelligence
eccv,ECCV,European Conference on Computer Vision
ecoop,ECOOP,European Conference on Object Oriented Programming
edbt,EDBT,Extending Database Technology
edcc,EDCC,European Dependable Computing Conference
emnlp,EMNLP,Empirical Methods in Natural Language Processing
emsoft,EMSOFT,ACM Conference on Embedded Software
er,ER,International Conference on Conceptual Modelling
esa,ESA,European Symposium on Algorithms
esop,ESOP,European Symposium on Programming
esorics,ESORICS,European Symposium on Research in Computer Security
eurocrypt,EUROCRYPT,International Conference on the Theory and Applications of Cryptographic Techniques
eurosys,Eurosys,Eurosys Conference
fast,FAST,Conference on File and Storage Technologies
fccm,FCCM,IEEE Symposium on Field-Programmable Custom Computing Machines
fmcad,FMCAD,Formal Methods in Computer-Aided Design
focs,FOCS,IEEE Symposium on Foundations of Computer Science
fse,FSE,Fast Software Encryption
gecco,GECCO,Genetic and Evolutionary Computation
grid,GRID,IEEE/ACM International Conference on Grid Computing
hipc,HiPC,Int'l. Conf. High Performance Computing
hipeac,HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers
hoti,HOTI,IEEE Symposium on High Performance Interconnects
hotos,HotOS,USENIX Workshop on Hot Topics in Operating Systems
hpca,HPCA,International Symposium on High Performance Computer Architecture
hpcc,HPCC,IEEE International Conference on High Performance Computing & Communications Conference
hpdc,HPDC,ACM International Symposium on High Performance Distributed Computing
ht,Hypertext,ACM conference on Hypertext and hypermedia
iaai,IAAI,Innovative Applications in AI
icac,ICAC,IEEE International Conference on Autonomic Computing
icalp,ICALP,"International Colloquium on Automata, Languages and Programming"
icaps,ICAPS,International Conference on Automated Planning and Scheduling
icassp,ICASSP,"International Conference on Acoustics, Speech and Signal Processing"
icc,ICC,International Conference on Communications
iccad,ICCAD,IEEE/ACM International Conference on Computer-Aided Design
icccn,ICCCN,International Conference on Computer Communications and Networks
iccv,ICCV,IEEE International Conference on Computer Vision
icdcs,ICDCS,International Conference on Distributed Computing Systems
icde,ICDE,International Conference on Data Engineering
icdm,ICDM,IEEE International Conference on Data Mining
icdt,ICDT,International Conference on Database Theory
icebe,ICEBE,IEEE International Conference on e-Business Engineering
icfp,ICFP,Intl Conf on Functional Programming
icgse,ICGSE,IEEE International Conference on Global Software Engineering
icis,ICIS,International Conference on Information Systems
iclp,ICLP,International Conference on Logic Programming
icml,ICML,International Conference on Machine Learning
icnp,ICNP,International Conference on Network Protocols
icpp,ICPP,Int'l. Conf. Parallel Processing
icpr,ICPR,International Conference on Pattern Recognition
icra,ICRA,International Conference on Robotics and Automation
ics,ICS,ACM International Conference on Supercomputing
icse,ICSE,International Conference on Software Engineering
icsm,ICSM,IEEE International Conference on Software Maintenance
icst,ICST,International Conference on Software Testing Verification and Validation
icws,ICWS,IEEE International Conference on Web Services
icwsm,ICWSM,International Conference on Weblogs and Social Media
iiswc,IISWC,International Symposium on Workload Characterization
ijcai,IJCAI,International Joint Conference on Artificial Intelligence
ijcar,IJCAR,International Joint Conference on Automated Reasoning
imc,IMC,Internet Measurement Conference
infocom,INFOCOM,IEEE Conference on Computer Communications
interact,INTERACT,IFIP Conference on Human-Computer Interaction
interspeech,INTERSPEECH,Annual Conference of the International Speech Communication Association
iolts,IOLTS,IEEE International On-Line Testing Symposium
ipccc,IPCCC,IEEE International Performance Computing and Communications Conference
ipdps,IPDPS,IEEE International Parallel and Distributed Processing Symposium
ipmi,IPMI,Information Processing in Medical Imaging
ipsn,IPSN,Information Processing in Sensor Networks
iros,IROS,International Conference on Intelligent Robots and Systems
isca,ISCA,ACM International Symposium on Computer Architecture
islped,ISLPED,International Symposium on Low-Power Electronics and Design
ismar,ISMAR,IEEE/ACM International Symposium on Mixed and Augmented Reality
ismb,ISMB,Intelligent Systems for Molecular Biology
ismm,ISMM,International Symposium on Memory Management
ismvl,ISMVL,International Symposium on Multiple-Valued Logic
isorc,ISORC,IEEE International Symposium on Object-Oriented Real-time Distributed Computing
ispa,ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications
ispass,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software
issac,ISSAC,Intl. Symposium on Symbolic and Algebraic Computation
isscc,ISSCC,Int'l Solid State Circuits Conf
issre,ISSRE,International Symposium on Software Reliability Engineering
issta,ISSTA,International Symposium on Software Testing and Analysis
iswc,ISWC,Intl Semantic Web Conference
itc,ITC,IEEE International Test Conference
itng,ITNG,International Conference on Information Technology: New Generations
iui,IUI,International Conference on Intelligent User Interfaces
jcdl,JCDL/DL,International conference on Digital libraries
kdd,KDD,Conference on Knowledge Discovery and Data Mining
Key,Acronym,Title
kr,KR,International Conference on Principles of Knowledge Representation and Reasoning
lcn,LCN,IEEE Conference on Local Computer Networks
lctes,LCTES,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems"
lics,LICS,IEEE Symposium on Logic in Computer Science
mascots,MASCOTS,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems
mass,MASS,IEEE Internatonal Conference on Mobile Adhoc and Sensor Systems
mdm,MDM,IEEE International Conference on Mobile Data Management
miccai,MICCAI,Medical Image Computing and Computer Assisted Interventions
micro,MICRO,International Symposium on Microarchitecture
mm,MM,ACM Multimedia Conference
mobicom,MobiCom,ACM International Conference on Mobile Computing and Networking
mobihoc,MobiHoc,ACM Symposium of Mobile and Ad Hoc Computing
mobisec,Mobisec,International ICST Conference on Security and Privacy in Mobile Information and Communication Systems
mobisys,MobiSys,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services"
naacl,NAACL/HLT,Human Language Technologies: Conference of the North American Chapter of the Association for Computational Linguistics
ndss,NDSS,Usenix Network and Distributed System Security Symposium
nips,NIPS,Advances in Neural Information Processing Systems
noms,NOMS,Network Operations and Management Symposium
nsdi,NSDI,Symposium on Networked Systems Design and Implementation
oopsla,OOPSLA,"ACM Conference on Object-Oriented Programming, Systems, Languages, and Applications"
osdi,OSDI, USENIX Symposium on Operating Systems Design and Implementation
pact,PACT,International Conference on Parallel Architectures and Compilation Techniques
percom,PERCOM,IEEE International Conference on Pervasive Computing and Communications
pldi,PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation
podc,PODC,ACM Symposium on Principles of Distributed Computing
pods,PODS,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems
popl,POPL,ACM-SIGACT Symposium on Principles of Programming Languages
ppopp,PPoPP,Principles and Practice of Parallel Programming
psb,PSB,Pacific Symposium on Biocomputing
raid,RAID,International Symposium on Recent Advances in Intrusion Detection
re,RE,IEEE International Requirements Engineering Conference
recomb,RECOMB,International conference on Computational molecular biology
rss,RSS,Robotics: Science and Systems Conference
rtas,RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium
rtss,RTSS,IEEE Real-Time Systems Symposium
sac,SAC,ACM symposium on Applied Computing
sacmat,SACMAT,"Symposium on Access Control Models and Technologies, ACM (was RBAC)"
saint,SAINT,International Symposium on Applications and the Internet
sbac-pad,SBAC-PAD,International Symposium on Computer Architecture and High Performance Compuing
sc,SC,ACM/IEEE Supercomputing Conference
sdm,SDM,SIAM International Conference on Data Mining
sea,SEA,International Symposium on Experimental Algorithms
sec,SEC,IFIP International Information Security Conference
securecomm,Securecomm,International ICST Conference on Security and Privacy in Communication Networks
sensys,SenSys,ACM Conference on Embedded Networked Sensor Systems
si3d,i3D,ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games
sigcomm,SIGCOMM,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication"
sigecom,EC,ACM conference on Electronic commerce
sigir,SIGIR,ACM International Conference on Research and Development in Information Retrieval
sigmetrics,SIGMETRICS,ACM SIG on Computer and Communications Metrics and Performance
sigmod,SIGMOD,ACM Special Interest Group on Management of Data Conference
sigsoft-fse,FSE,ACM SIGSOFT International Symposium on Foundations of Software Engineering
soda,SODA,ACM/SIAM Symposium on Discrete Algorithms
sosp,SOSP,ACM SIGOPS Symposium on Operating Systems Principles
sp,S&P,IEEE Symposium on Security & Privacy
spaa,SPAA,Symposium on Parallelism in Algorithms and Architectures
srds,SRDS,Symposium on Reliable Distributed Systems
ssdbm,SSDBM,International Conference on Scientific and Statistical Data Base Management
stacs,STACS,International Symposium on Theoretical Aspects of Computer Science
stoc,STOC,ACM Symposium on Theory of Computing
sysose,SOSE,IEEE International Conference on Sytem of Systems Engineering
tcc,TCC,Theory of Cryptography Conference
uai,UAI,Conference on Uncertainty in Artificial Intelligence
ubicomp,UBICOMP,Ubiquitous Computing
uist,UIST,ACM Symposium on User Interface Software and Technology
usenix,USENIX ATC,USENIX Annual Technical Conference
uss,USENIX Security,USENIX Security Symposium
vee,VEE,International Conference on Virtual Execution Environments
vr,VR,IEEE Virtual Reality Conference
wads,WADS,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures)
wcci,WCCI,World Congress on Computational Intelligence
wimob,WiMOB,"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications"
wowmom,WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks"
wsdm,WSDM,ACM International Conference on Web Search and Data Mining
www,WWW,International World Wide Web Conference
,CSB,IEEE Computational Systems Bioinformatics Conference
,DSN,Workshop on Assurance Cases for Security
,ECCB,European Conference on Computational Biology
,ICCS,International Conference on Computational Science
,ICICIC,"International Conference on Innovative Computing, Information and Control  "
,PERFORMANCE,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation"
,SGP,Eurographics symposium on Geometry Processing
,SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques
,SPLASH,"Systems, Programming, Languages, and Applications: Software for Humanity"
,VLDB,International conference on Very large data bases
