KEY,Venue,Topic Area/s 1,Topic Area/s 2,Type,Title,dblp URL,Added
jcdl,JCDL/DL,other,,conference,International Conference on Digital Libraries,https://dblp.uni-trier.de/db/conf/jcdl/,2019
jdiq,JDIQ,data mining,,journal,Journal of Data and Information Quality,https://dblp.uni-trier.de/db/journals/jdiq/,2019
jea,JEA,algorithms,theory,journal,Journal of Experimental Algorithmics,https://dblp.uni-trier.de/db/journals/jea/,2019
jeric,TOCE,cs education,,journal,ACM Transactions on Computing Education,https://dblp.uni-trier.de/db/journals/jeric/,2019
jetc,JETC,systems,,journal,ACM Journal on Emerging Technologies in Computing Systems,https://dblp.uni-trier.de/db/journals/jetc/,2019
jmicro,IEEE MICRO,architecture,systems,journal,IEEE Micro,https://dblp.uni-trier.de/db/journals/micro/,2019
jmlr,JMLR,machine learning,artificial intelligence,journal,Journal of Machine Learning Research,https://dblp.uni-trier.de/db/journals/jmlr/,2019
jocch,JOCCH,other,,journal,Journal on Computing and Cultural Heritage,https://dblp.uni-trier.de/db/journals/jocch/,2019
kdd,KDD,artificial intelligence,data mining,conference,Conference on Knowledge Discovery and Data Mining,https://dblp.uni-trier.de/db/conf/kdd/,2019
kr,KR,artificial intelligence,,conference,International Conference on Principles of Knowledge Representation and Reasoning,https://dblp.uni-trier.de/db/conf/kr/,2019
lats,L@S,cs education,,conference,Learning @ Scale,https://dblp.uni-trier.de/db/conf/lats/,2019
lcn,LCN,systems,networks,conference,IEEE Conference on Local Computer Networks,https://dblp.uni-trier.de/db/conf/lcn/,2019
lctes,LCTES,systems,"embedded & real time, programming languages",conference,"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",https://dblp.org/db/conf/lctrts/,2019
lics,LICS,theory,verification,conference,IEEE Symposium on Logic in Computer Science,https://dblp.uni-trier.de/db/conf/lics/,2019
mascots,MASCOTS,systems,"performance analysis, networks",conference,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,https://dblp.uni-trier.de/db/conf/mascots/,2019
mass,MASS,systems,mobile,conference,IEEE Internatonal Conference on Mobile Adhoc and Sensor Systems,https://dblp.uni-trier.de/db/conf/mass/,2019
mdm,MDM,databases,mobile,conference,IEEE International Conference on Mobile Data Management,https://dblp.uni-trier.de/db/conf/mdm/,2019
miccai,MICCAI,vision,,conference,Medical Image Computing and Computer Assisted Interventions,https://dblp.uni-trier.de/db/conf/miccai/,2019
micro,MICRO,systems,architecture,conference,International Symposium on Microarchitecture,https://dblp.uni-trier.de/db/conf/micro/,2019
ml,ML,machine learning,artificial intelligence,journal,Machine Learning,https://dblp.uni-trier.de/db/journals/ml/,2019
mm,MM,human computer interaction,multimedia,conference,ACM Multimedia Conference,https://dblp.uni-trier.de/db/conf/mm/,2019
mmas,MMAS,performance analysis,,journal,Multiscale Modeling & Simulation,https://dblp.uni-trier.de/db/journals/mmas/,2019
mobicom,MobiCom,systems,mobile,conference,ACM International Conference on Mobile Computing and Networking,https://dblp.uni-trier.de/db/conf/mobicom/,2019
mobihoc,MobiHoc,systems,"mobile,networks",conference,ACM Symposium of Mobile and Ad Hoc Computing,https://dblp.uni-trier.de/db/conf/mobihoc/,2019
mobisec,Mobisec,systems,"mobile,security",conference,International ICST Conference on Security and Privacy in Mobile Information and Communication Systems,https://dblp.uni-trier.de/db/conf/mobisec/,2019
mobisys,MobiSys,systems,mobile,conference,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",https://dblp.uni-trier.de/db/conf/mobisys/,2019
naacl,NAACL/HLT,artificial intelligence,"natural language processing,human computer interaction",conference,Human Language Technologies: Conference of the North American Chapter of the Association for Computational Linguistics,https://dblp.uni-trier.de/db/conf/naacl/,2019
ndss,NDSS,systems,"networks,security,distributed systems",conference,Usenix Network and Distributed System Security Symposium,https://dblp.uni-trier.de/db/conf/ndss/,2019
nfm,NFM,verification,,conference,NASA Formal Methods,https://dblp.uni-trier.de/db/conf/nfm/,2019
nips,NIPS,artificial intelligence,"machine learning, data mining",conference,Advances in Neural Information Processing Systems,https://dblp.uni-trier.de/db/conf/nips/,2019
noms,NOMS,systems,networks,conference,Network Operations and Management Symposium,https://dblp.uni-trier.de/db/conf/noms/,2019
nsdi,NSDI,systems,networks,conference,Symposium on Networked Systems Design and Implementation,https://dblp.uni-trier.de/db/conf/nsdi/,2019
oopsla,OOPSLA,systems,programming languages,conference,"ACM Conference on Object-Oriented Programming, Systems, Languages, and Applications",https://dblp.uni-trier.de/db/conf/oopsla/,2019
osdi,OSDI,systems,operating systems,conference,USENIX Symposium on Operating Systems Design and Implementation,https://dblp.uni-trier.de/db/conf/osdi/,2019
pact,PACT,systems,"architecture, programming languages, parallel computing",conference,International Conference on Parallel Architectures and Compilation Techniques,https://dblp.uni-trier.de/db/conf/pact/,2019
pacmpl,PACMPL,systems,"programming languages,theory",journal,Proceedings of the ACM on Programming Languages,https://dblp.org/db/journals/pacmpl/,2019
pami,PAMI,artificial intelligence,vision,journal,IEEE Transactions on Pattern Analysis & Machine Intelligence,https://dblp.uni-trier.de/db/journals/pami/,2019
percom,PERCOM,systems,"networks, operating systems, distributed systems",conference,IEEE International Conference on Pervasive Computing and Communications,https://dblp.uni-trier.de/db/conf/percom/,2019
pervasive,PERVASIVE,systems,,journal,IEEE Pervasive Computing,https://dblp.uni-trier.de/db/journals/pervasive/,2019
pldi,PLDI,systems,programming languages,conference,ACM SIGPLAN Conference on Programming Language Design and Implementation,https://dblp.uni-trier.de/db/conf/pldi/,2019
podc,PODC,systems,distributed systems,conference,ACM Symposium on Principles of Distributed Computing,https://dblp.uni-trier.de/db/conf/podc/,2019
pods,PODS,databases,,conference,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,https://dblp.uni-trier.de/db/conf/pods/,2019
popl,POPL,theory,programming languages,conference,ACM-SIGACT Symposium on Principles of Programming Languages,https://dblp.uni-trier.de/db/conf/popl/,2019
ppopp,PPoPP,systems,parallel computing,conference,Principles and Practice of Parallel Programming,https://dblp.uni-trier.de/db/conf/ppopp/,2019
psb,PSB,bioinformatics,,conference,Pacific Symposium on Biocomputing,https://dblp.uni-trier.de/db/conf/psb/,2019
pvldb,PVLDB,databases,,journal,Proceedings of the VLDB Endowment,https://dblp.uni-trier.de/db/journals/pvldb/,2019
raid,RAID,security,systems,conference,International Symposium on Recent Advances in Intrusion Detection,https://dblp.uni-trier.de/db/conf/raid/,2019
re,RE,systems,software engineering,conference,IEEE International Requirements Engineering Conference,https://dblp.uni-trier.de/db/conf/re/,2019
recomb,RECOMB,bioinformatics,,conference,International Conference on Computational Molecular Biology,https://dblp.uni-trier.de/db/conf/recomb/,2019
rss,RSS,robotics,,conference,Robotics: Science and Systems Conference,https://dblp.uni-trier.de/db/conf/rss/,2019
rtas,RTAS,systems,embedded & real time,conference,IEEE Real-Time and Embedded Technology and Applications Symposium,https://dblp.uni-trier.de/db/conf/rtas/,2019
rtss,RTSS,systems,embedded & real time,conference,IEEE Real-Time Systems Symposium,https://dblp.uni-trier.de/db/conf/rtss/,2019
sac,SAC,other,,conference,ACM Symposium on Applied Computing,https://dblp.uni-trier.de/db/conf/sac/,2019
sacmat,SACMAT,systems,,conference,"Symposium on Access Control Models and Technologies, ACM (was RBAC)",https://dblp.uni-trier.de/db/conf/sacmat/,2019
saint,SAINT,,web technologies,conference,International Symposium on Applications and the Internet,https://dblp.uni-trier.de/db/conf/saint/,2019
sbac-pad,SBAC-PAD,systems,"architecture,high performance computing",conference,International Symposium on Computer Architecture and High Performance Computing,https://dblp.uni-trier.de/db/conf/sbac-pad/,2019
sc,SC,systems,"high performance computing,parallel computing",conference,ACM/IEEE Supercomputing Conference,https://dblp.uni-trier.de/db/conf/sc/,2019
sdm,SDM,data mining,,conference,SIAM International Conference on Data Mining,https://dblp.uni-trier.de/db/conf/sdm/,2019
sea,SEA,algorithms,,conference,International Symposium on Experimental Algorithms,https://dblp.org/db/conf/wea/,2019
sec,SEC,security,,conference,IFIP International Information Security Conference,https://dblp.uni-trier.de/db/conf/sec/,2019
securecomm,Securecomm,systems,"security,networks",conference,International ICST Conference on Security and Privacy in Communication Networks,https://dblp.uni-trier.de/db/conf/securecomm/,2019
sensys,SenSys,systems,"mobile,networks,embedded & real time",conference,ACM Conference on Embedded Networked Sensor Systems,https://dblp.uni-trier.de/db/conf/sensys/,2019
si3d,i3D,graphics,,conference,ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,https://dblp.uni-trier.de/db/conf/si3d/,2019
siamads,SIAMADS,systems,,journal,SIAM Journal on Applied Dynamical Systems,https://dblp.uni-trier.de/db/journals/siamads/,2019
siamam,SIAMAM,theory,,journal,SIAM Journal on Applied Mathematics,https://dblp.uni-trier.de/db/journals/siamam/,2019
siamco,SIAMCO,theory,,journal,SIAM Journal on Control and Optimization,https://dblp.uni-trier.de/db/journals/siamco/,2019
siamcomp,SIAMCOMP,other,,journal,SIAM Journal on Computing,https://dblp.uni-trier.de/db/journals/siamcomp/,2019
siamdm,SIAMDM,theory,,journal,SIAM Journal on Discrete Mathematics,https://dblp.uni-trier.de/db/journals/siamdm/,2019
siamjo,SIAMJO,theory,,journal,SIAM Journal on Optimization,https://dblp.uni-trier.de/db/journals/siamjo/,2019
siamma,SIAMMA,theory,,journal,SIAM Journal on Mathematical Analysis,https://dblp.uni-trier.de/db/journals/siamma/,2019
siammax,SIAMMAX,theory,,journal,SIAM Journal on Matrix Analysis & Applications,https://dblp.uni-trier.de/db/journals/siammax/,2019
siamnum,SIAMNUM,theory,,journal,SIAM Journal on Numerical Analysis,https://dblp.uni-trier.de/db/journals/siamnum/,2019
siamrev,SIAMREV,other,,journal,SIAM Review,https://dblp.uni-trier.de/db/journals/siamrev/,2019
siamsc,SIAMSC,high performance computing,,journal,SIAM Journal on Scientific Computing,https://dblp.uni-trier.de/db/journals/siamsc/,2019
sigcomm,SIGCOMM,systems,networks,conference,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",https://dblp.uni-trier.de/db/conf/sigcomm/,2019
sigcse,SIGCSE,cs education,,conference,Technical Symposium on Computer Science Education,https://dblp.uni-trier.de/db/conf/sigcse/,2019
sigecom,EC,computational economics,,conference,ACM Conference on Economics and Computation / Electronic Commerce,https://dblp.uni-trier.de/db/conf/sigecom/,2019
sigir,SIGIR,artificial intelligence,information retrieval,conference,ACM International Conference on Research and Development in Information Retrieval,https://dblp.uni-trier.de/db/conf/sigir/,2019
sigmetrics,SIGMETRICS,systems,"performance analysis,networks",conference,ACM SIG on Computer and Communications Metrics and Performance,https://dblp.uni-trier.de/db/conf/sigmetrics/,2019
sigmod,SIGMOD,databases,,conference,ACM Special Interest Group on Management of Data Conference,https://dblp.uni-trier.de/db/conf/sigmod/,2019
sigsoft-fse,FSE,systems,software engineering,conference,ACM SIGSOFT International Symposium on Foundations of Software Engineering,https://dblp.uni-trier.de/db/conf/sigsoft/,2019
soda,SODA,theory,algorithms,conference,ACM/SIAM Symposium on Discrete Algorithms,https://dblp.uni-trier.de/db/conf/soda/,2019
software,SOFTWARE,software engineering,,journal,IEEE Software,https://dblp.uni-trier.de/db/journals/software/,2019
sosp,SOSP,systems,operating systems,conference,ACM SIGOPS Symposium on Operating Systems Principles,https://dblp.uni-trier.de/db/conf/sosp/,2019
sp,S&P,systems,security,conference,IEEE Symposium on Security & Privacy,https://dblp.uni-trier.de/db/conf/sp/,2019
spaa,SPAA,theory,"algorithms,architecture,parallel computing",conference,Symposium on Parallelism in Algorithms and Architectures,https://dblp.uni-trier.de/db/conf/spaa/,2019
spin,SPIN,verification,,conference,SPIN Symposium / Workshop,https://dblp.uni-trier.de/db/conf/spin/,2019
srds,SRDS,systems,"operating systems, distributed systems",conference,Symposium on Reliable Distributed Systems,https://dblp.uni-trier.de/db/conf/srds/,2019
ssd,SSTD,databases,,conference,Symposium on Spatial and Temporal Databases,https://dblp.uni-trier.de/db/conf/ssd/,2019
ssdbm,SSDBM,databases,data mining,conference,International Conference on Scientific and Statistical Data Base Management,https://dblp.uni-trier.de/db/conf/ssdbm/,2019
stacs,STACS,theory,"algorithms, verification",conference,International Symposium on Theoretical Aspects of Computer Science,https://dblp.uni-trier.de/db/conf/stacs/,2019
stoc,STOC,theory,algorithms,conference,ACM Symposium on Theory of Computing,https://dblp.uni-trier.de/db/conf/stoc/,2019
sysose,SOSE,systems,,conference,IEEE International Conference on Sytem of Systems Engineering,https://dblp.uni-trier.de/db/conf/sysose/,2019
taas,TAAS,systems,,journal,ACM Transactions on Autonomous and Adaptive Systems,https://dblp.uni-trier.de/db/journals/taas/,2019
tacas,TACAS,verification,,conference,International Conference on Tools and Algorithms for Construction and Analysis of Systems,https://dblp.uni-trier.de/db/conf/tacas/,2019
taccess,TACCESS,other,,journal,ACM Transactions on Accessible Computing,https://dblp.uni-trier.de/db/journals/taccess/,2019
taco,TACO,programming languages,"architecture, systems",journal,ACM Transactions on Architecture and Code Optimization,https://dblp.uni-trier.de/db/journals/taco/,2019
talg,TALG,algorithms,theory,journal,ACM Transactions on Algorithms,https://dblp.uni-trier.de/db/journals/talg/,2019
talip,TALIP,natural language processing,,journal,ACM Transactions on Asian Language Information Processing,https://dblp.uni-trier.de/db/journals/talip/,2019
tap,TAP,vision,artificial intelligence,journal,ACM Transactions on Applied Perception,https://dblp.uni-trier.de/db/journals/tap/,2019
tc,TC,other,,journal,IEEE Transactions on Computers,https://dblp.uni-trier.de/db/journals/tc/,2019
tcbb,TCBB,bioinformatics,,journal,IEEE/ACM Transactions on Computational Biology and Bioinformatics,https://dblp.uni-trier.de/db/journals/tcbb/,2019
tcc,TCC,theory,cryptography,conference,Theory of Cryptography Conference,https://dblp.uni-trier.de/db/conf/tcc/,2019
tdsc,TDSC,systems,,journal,IEEE Transactions on Dependable and Secure Computing,https://dblp.uni-trier.de/db/journals/tdsc/,2019
tecs,TECS,embedded & real time,,journal,ACM Transactions on Embedded Computing Systems,https://dblp.uni-trier.de/db/journals/tecs/,2019
tissec,TOPS,security,systems,journal,ACM Transactions on Information and System Security,https://dblp.uni-trier.de/db/journals/tissec/,2019
tist,TIST,artificial intelligence,,journal,ACM Transactions on Intelligent Systems and Technology,https://dblp.uni-trier.de/db/journals/tist/,2019
titb,TITB,other,,journal,IEEE Transactions on Information Technology in Biomedicine,https://dblp.uni-trier.de/db/journals/titb/,2019
tkdd,TKDD,data mining,artificial intelligence,journal,ACM Transactions on Knowledge Discovery from Data,https://dblp.uni-trier.de/db/journals/tkdd/,2019
tkde,TKDE,data mining,artificial intelligence,journal,IEEE Transactions on Knowledge & Data Engineering Promoting,https://dblp.uni-trier.de/db/journals/tkde/,2019
tmc,TMC,mobile,systems,journal,IEEE Transactions on Mobile Computing,https://dblp.uni-trier.de/db/journals/tmc/,2019
tmm,TMM,multimedia,,journal,IEEE Transactions on Multimedia,https://dblp.uni-trier.de/db/journals/tmm/,2019
tochi,TOCHI,human computer interaction,,journal,ACM Transactions on Computer-Human Interaction,https://dblp.uni-trier.de/db/journals/tochi/,2019
tocl,TOCL,theory,,journal,ACM Transactions on Computational Logic,https://dblp.uni-trier.de/db/journals/tocl/,2019
tocs,TOCS,systems,,journal,ACM Transactions on Computer Systems,https://dblp.uni-trier.de/db/journals/tocs/,2019
toct,TOCT,theory,,journal,ACM Transactions on Computation Theory,https://dblp.uni-trier.de/db/journals/toct/,2019
todaes,TODAES,circuits,"architecture, systems",journal,ACM Transactions on Design Automation of Electronic Systems,https://dblp.uni-trier.de/db/journals/todaes/,2019
tods,TODS,databases,,journal,ACM Transactions on Database Systems,https://dblp.uni-trier.de/db/journals/tods/,2019
tog,TOG,graphics,,journal,ACM Transactions on Graphics,https://dblp.uni-trier.de/db/journals/tog/,2019
tois,TOIS,information retrieval,,journal,ACM Transactions on Information Systems,https://dblp.uni-trier.de/db/journals/tois/,2019
toit,TOIT,systems,,journal,ACM Transactions on Internet Technology,https://dblp.uni-trier.de/db/journals/toit/,2019
tomacs,TOMACS,theory,performance analysis,journal,ACM Transactions on Modeling and Computer Simulation,https://dblp.uni-trier.de/db/journals/tomacs/,2019
tomccap,TOMCCAP,multimedia,,journal,"ACM Transactions on Multimedia Computing, Communications, and Applications",https://dblp.uni-trier.de/db/journals/tomccap/,2019
toms,TOMS,theory,,journal,ACM Transactions on Mathematical Software,https://dblp.uni-trier.de/db/journals/toms/,2019
ton,TON,networks,systems,journal,IEEE/ACM Transactions on Networking,https://dblp.uni-trier.de/db/journals/ton/,2019
toplas,TOPLAS,programming languages,systems,journal,ACM Transactions on Programming Languages and Systems,https://dblp.uni-trier.de/db/journals/toplas/,2019
tos,TOS,systems,,journal,ACM Transactions on Storage,https://dblp.uni-trier.de/db/journals/tos/,2019
tosem,TOSEM,software engineering,,journal,ACM Transactions on Software Engineering and Methodology,https://dblp.uni-trier.de/db/journals/tosem/,2019
tosn,TOSN,networks,systems,journal,ACM Transactions on Sensor Networks,https://dblp.uni-trier.de/db/journals/tosn/,2019
tpds,TPDS,distributed systems,,journal,IEEE Transactions on Parallel & Distributed Systems,https://dblp.uni-trier.de/db/journals/tpds/,2019
trets,TRETS,systems,,journal,ACM Transactions on Reconfigurable Technology and Systems,https://dblp.uni-trier.de/db/journals/trets/,2019
tse,TSE,software engineering,,journal,IEEE Transactions on Software Engineering,https://dblp.uni-trier.de/db/journals/tse/,2019
tslp,TSLP,natural language processing,,journal,ACM Transactions on Speech and Language Processing,https://dblp.uni-trier.de/db/journals/tslp/,2019
tvcg,TVCG,graphics,,journal,IEEE Transactions on Visualization & Computer Graphics,https://dblp.uni-trier.de/db/journals/tvcg/,2019
tvlsi,VLSI,circuits,"architecture, systems",journal,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,https://dblp.uni-trier.de/db/journals/tvlsi/,2019
tweb,TWEB,web technologies,,journal,ACM Transactions on the Web,https://dblp.uni-trier.de/db/journals/tweb/,2019
uai,UAI,artificial intelligence,,conference,Conference on Uncertainty in Artificial Intelligence,https://dblp.uni-trier.de/db/conf/uai/,2019
ubicomp,UBICOMP,human computer interaction,,conference,Ubiquitous Computing,https://dblp.org/db/conf/huc/,2019
uist,UIST,human computer interaction,,conference,ACM Symposium on User Interface Software and Technology,https://dblp.uni-trier.de/db/conf/uist/,2019
usenix,USENIX ATC,systems,operating systems,conference,USENIX Annual Technical Conference,https://dblp.uni-trier.de/db/conf/usenix/,2019
uss,USENIX Security,systems,security,conference,USENIX Security Symposium,https://dblp.uni-trier.de/db/conf/uss/,2019
vee,VEE,systems,"operating systems, programming languages",conference,International Conference on Virtual Execution Environments,https://dblp.uni-trier.de/db/conf/vee/,2019
vldb,VLDB-J,databases,,journal,The VLDB Journal,https://dblp.uni-trier.de/db/journals/vldb/,2019
vr,VR,artificial intelligence,graphics,conference,IEEE Virtual Reality Conference,https://dblp.uni-trier.de/db/conf/vr/,2019
wads,WADS,theory,algorithms,conference,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),https://dblp.uni-trier.de/db/conf/wads/,2019
wcci,WCCI,other,,conference,World Congress on Computational Intelligence,https://dblp.uni-trier.de/db/conf/wcci/,2019
wine,WINE,computational economics,,conference,Web and Internet Economics / Workshop on Internet and Network Economics,https://dblp.uni-trier.de/db/conf/wine/,2019
wimob,WiMOB,systems,"networks,mobile",conference,"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",https://dblp.uni-trier.de/db/conf/wimob/,2019
wowmom,WoWMoM,systems,"networks,mobile",conference,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",https://dblp.uni-trier.de/db/conf/wowmom/,2019
wsdm,WSDM,artificial intelligence,"databases, data mining",conference,ACM International Conference on Web Search and Data Mining,https://dblp.uni-trier.de/db/conf/wsdm/,2019
www,WWW,web technologies,information retrieval,conference,International World Wide Web Conference,https://dblp.uni-trier.de/db/conf/www/,2019
tplp,TPLP,theory,,journal,Theory and Practice of Logic Programming,https://dblp.org/db/journals/tplp/,2021
tacl,TACL,natural language processing,,journal,Transactions of the Association for Computational Linguistics,https://dblp.org/db/journals/tacl/,2021
asiaccs,AsiaCCS,security,,conference,ACM Asia Conference on Computer and Communications Security,https://dblp.org/db/conf/asiaccs/,2021
eurosp,EuroS&P,security,,conference,European Symposium on Security and Privacy,https://dblp.org/db/conf/eurosp/,2021
acsac,ACSAC,security,,conference,Annual Computer Security Applications Conference,https://dblp.org/db/conf/acsac/,2021
soups,SOUPS,security,,conference,Symposium On Usable Privacy and Security,https://dblp.uni-trier.de/db/conf/soups/,2021
wisec,WiSec,security,,conference,Wireless Network Security,https://dblp.uni-trier.de/db/conf/wisec,2021
popets,PoPETs,security,,journal,Proceedings on Privacy Enhancing Technologies,https://dblp.uni-trier.de/db/journals/popets/,2021
dsn,DSN,systems,networks,conference,Dependable Systems and Networks,https://dblp.uni-trier.de/db/conf/dsn/,2021
aistats,AISTATS,artificial intelligence,machine learning,conference,International Conference on Artificial Intelligence and Statistics,https://dblp.uni-trier.de/db/conf/aistats/,2021
iclr,ICLR,artificial intelligence,machine learning,conference,International Conference on Learning Representations,https://dblp.uni-trier.de/db/conf/iclr/,2021
